STATION,DATE,PRCP,AWND,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT13,WT14,WT16,WT18,WT19,WT21,WT22
GHCND:USW00023237,19930422,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930423,3,60,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930424,0,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930425,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930426,0,84,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930427,0,67,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930428,0,53,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930429,0,86,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930430,0,96,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930501,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930502,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930503,0,80,9999,9999,9999,9999,9999,1,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930504,0,82,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930505,0,24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930506,0,71,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930507,0,78,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930508,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930509,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930510,0,79,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930511,8,86,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
GHCND:USW00023237,19930512,0,32,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930513,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930514,0,37,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930515,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930516,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930517,0,26,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930518,0,22,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930519,0,26,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930520,0,47,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930521,0,70,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930522,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930523,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
GHCND:USW00023237,19930524,58,34,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,1,9999,9999,9999,9999
