,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,5,"SJ","R014.930"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",3,3/12/1996,220,926513385," speeding ","cloudy","dark","wet","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,0," median barriar beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,5,"SJ","R015.037"," div. hwy ","F","J","N",3,3,"UI","R",2,"N",5,2/15/1996,2145,926508175," imp. turn ","cloudy","dark","dry","normal","D"," hit object ",1," pickup ","W"," on sr "," unk ",0,0," side of bridge beyond shoulder drivers left "," side of bridge  beyond shoulder drivers right "," end of bridge beyond shoulder drivers left "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,5,"SJ","R015.037"," div. hwy ","F","J","N",3,3,"UI","R",2,"N",3,10/29/1996,1315,926509836," speeding ","cloudy","day","wet","normal","D"," hit object ",1," car ","W"," on sr "," unk ",0,0," guardrail beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," imp. turn  unk "," off road ","A unk ",1,1,,
10,5,"SJ","R015.410"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",1,3/17/1996,900,926513508," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," pickup ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R015.410"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",1,3/17/1996,900,926513508," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","G unk ",,,,
10,5,"SJ","R015.460"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",7,9/28/1996,2129,926513205," sleeping ","clear","dark","dry","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,1," dike or curb  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," n/a  n/a "," imp. turn  unk "," straight "," unk I",1,,1,
10,5,"SJ","R015.490"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",1,1/21/1996,20,926506807," imp. turn ","rain","dark","wet","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,0," dike or curb  beyond shoulder drivers right "," rollover  right shoulder "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,5,"SJ","R015.490"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",2,5/13/1996,1,926512666," other than driver ","clear","dark","dry","normal","D"," roll-over ",1," pickup ","N"," on sr "," unk ",0,0," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,5,"SJ","R015.970"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",3,10/29/1996,220,926513258," speeding ","cloudy","dark","wet","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,0," over embankment  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","AI",1,1,,
10,5,"SJ","R016.170"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",2,4/15/1996,1100,926505271," other. viol. ","cloudy","day","dry","normal","D"," other ",2," car ","N"," on sr "," unk ",0,0,"V3 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R016.170"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",2,4/15/1996,1100,926505271," other. viol. ","cloudy","day","dry","normal","D"," other ",2," semi w/ trailer ","N"," on sr "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","G unk ",,,,
10,5,"SJ","R016.170"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",2,4/15/1996,1100,926505271," other. viol. ","cloudy","day","dry","normal","D"," other ",2," spilled load "," unk "," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," other "," unk ",,,,
10,5,"SJ","R016.262"," div. hwy ","F","J","N",3,3,"UI","R",1,"N",5,8/22/1996,1515,926505841," other. viol. ","clear","day","dry","normal","A"," sideswipe ",2," pickup w/trailer ","N"," on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopoped ","A unk ",1,1,,
10,5,"SJ","R016.262"," div. hwy ","F","J","N",3,3,"UI","R",1,"N",5,8/22/1996,1515,926505841," other. viol. ","clear","day","dry","normal","A"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",,,,
10,5,"SJ","R016.270"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",5,8/22/1996,1320,926513647," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," semi w/ trailer ","N"," on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","G unk ",1,1,,
10,5,"SJ","R016.270"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",5,8/22/1996,1320,926513647," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R016.450"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",5,10/31/1996,1825,926514199," speeding ","clear","dark","dry","normal","D"," hit object ",1," pickup ","N"," on sr "," unk ",0,0," oth. obj on rd  right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R016.580"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",3,10/1/1996,1520,926505841," other. viol. ","clear","day","dry","normal","D"," other ",2," car ","N"," on sr "," unk ",0,0,"V3 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R016.580"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",3,10/1/1996,1520,926505841," other. viol. ","clear","day","dry","normal","D"," other ",2," semi w/ trailer ","N"," on sr "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",,,,
10,5,"SJ","R016.580"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",3,10/1/1996,1520,926505841," other. viol. ","clear","day","dry","normal","D"," other ",2," spilled load "," unk "," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," other "," unk ",,,,
10,5,"SJ","R016.900"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",5,7/18/1996,1330,926505841," other. viol. ","clear","day","dry","normal","D"," other ",3," car ","N"," on sr "," unk ",0,1,"V4 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,,1,
10,5,"SJ","R016.900"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",5,7/18/1996,1330,926505841," other. viol. ","clear","day","dry","normal","D"," other ",3," car ","N"," on sr "," unk ",0,1," n/a  n/a ","V4 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R016.900"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",5,7/18/1996,1330,926505841," other. viol. ","clear","day","dry","normal","D"," other ",3," semi ","N"," on sr "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","G unk ",,,,
10,5,"SJ","R016.900"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",5,7/18/1996,1330,926505841," other. viol. ","clear","day","dry","normal","D"," other ",3," spilled load "," unk "," on sr "," unk ",0,0,"V1 left lane ","V2 right lane "," n/a  n/a "," n/a  n/a "," unk "," other "," unk ",,,,
10,5,"SJ","R017.285"," div. hwy ","F","K","Z",3,3,"UI","R",4,"N",6,5/10/1996,705,390006303," no yield ","clear","day","dry","normal","A"," t-bone ",2," pickup ","N"," not on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," merge from shoulder ","A unk ",1,1,,
10,5,"SJ","R017.285"," div. hwy ","F","K","Z",3,3,"UI","R",4,"N",6,5/10/1996,705,390006303," no yield ","clear","day","dry","normal","A"," t-bone ",2," car ","E"," not on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R017.285"," div. hwy ","F","K","Z",3,3,"UI","R",1,"N",4,5/15/1996,1245,926508470," speeding ","cloudy","day","dry","normal","A"," rear-end ",2," car ","N"," on sr "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopoped ","G unk ",1,,1,
10,5,"SJ","R017.285"," div. hwy ","F","K","Z",3,3,"UI","R",1,"N",4,5/15/1996,1245,926508470," speeding ","cloudy","day","dry","normal","A"," rear-end ",2," car ","N"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," slowing, stopping ","G unk ",,,,
10,5,"SJ","R017.285"," div. hwy ","F","K","Z",3,3,"UI","R",1,"N",6,5/24/1996,1100,926513338," other. viol. ","clear","day","dry","normal","A"," sideswipe ",2," pickup w/trailer ","N"," on sr "," unk ",0,0,"V2 right shoulder "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopoped ","A unk ",1,1,,
10,5,"SJ","R017.285"," div. hwy ","F","K","Z",3,3,"UI","R",1,"N",6,5/24/1996,1100,926513338," other. viol. ","clear","day","dry","normal","A"," sideswipe ",2," semi w/ trailer ","N"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," right turn ","A unk ",,,,
10,5,"SJ","R017.360"," div. hwy ","F","K","Z",3,3,"UI","H"," n/a ","N",7,1/27/1996,722,926509277," speeding ","rain","day","wet","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,1," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," none  unk "," off road ","A unk ",1,,1,
