,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury ","fatal"
10,120,"SJ","R005.510","D","F","J","Z",2,2,"UI","H"," n/a ","E",5,8/14/1997,1750,926513338," imp. turn ","clear","day","dry"," normal ","D"," sideswipe ",2," semi w/trailer ","E"," on sr. "," unk ",0,0,"V1 right shoulder "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," other ","A unk ",,,,
10,120,"SJ","R005.800","D","F","J","Z",2,2,"UI","H"," n/a ","E",2,8/25/1997,1530,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R005.800","D","F","J","Z",2,2,"UI","H"," n/a ","E",2,8/25/1997,1530,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," other veh. ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","G unk ",,,,
10,120,"SJ","R006.350","D","F","Q","G",2,2,"RO","H"," n/a ","E",6,9/26/1997,1745,926513647," oth. viol. ","clear","day","dry"," normal ","D"," other ",2," semi w/trailer ","E"," on sr. "," unk ",0,0," no obj. involved  right lane ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",1,1,,
10,120,"SJ","R006.350","D","F","Q","G",2,2,"RO","H"," n/a ","E",6,9/26/1997,1745,926513647," oth. viol. ","clear","day","dry"," normal ","D"," other ",2," pickup ","E"," on sr. "," unk ",0,0," n/a  n/a ","V1 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R005.210","D","F","J","Z",2,2,"UO","H"," n/a ","E",1,9/28/1997,742,926513762," imp. turn ","clear","day","dry"," normal ","D"," hit obj. ",1," car ","E"," on sr. "," unk ",0,1," guardrail  beyond shoulder drivers right "," no obj. involved  beyond median or stripe left "," n/a  n/a "," n/a  n/a "," speeding  unk "," unsafe turn ","A unk ",1,,1,
10,120,"SJ","R005.410","D","F","J","Z",2,2,"UI","H"," n/a ","E",6,10/3/1997,1955,926509277," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," pickup ","E"," on sr. "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R005.410","D","F","J","Z",2,2,"UI","H"," n/a ","E",6,10/3/1997,1955,926509277," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",,,,
10,120,"SJ","R003.680","D","F","J","Z",2,2,"UO","H"," n/a ","E",3,10/7/1997,1125,926510313," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",3," car ","E"," on sr. "," unk ",0,0,"V3 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R003.680","D","F","J","Z",2,2,"UO","H"," n/a ","E",3,10/7/1997,1125,926510313," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",3," car ","E"," on sr. "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",,,,
10,120,"SJ","R003.680","D","F","J","Z",2,2,"UO","H"," n/a ","E",3,10/7/1997,1125,926510313," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",3," semi w/trailer ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
