,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,120,"SJ","R001.600",,,,,,,,"H"," n/a ","E"," tue ",6/9/1992,1545,926510006," speeding ","clear","day","dry"," normal ","D"," rollover ",1," semi ","E"," on sr. "," unk ",0,1," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," imp. turn  unk "," off road ","A unk ",1,,1,
10,120,"SJ","R006.360",,,,,,,,"H"," n/a ","E"," sun ",6/14/1992,1230,926508144," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","E"," on sr. "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","G unk ",1,1,,
10,120,"SJ","R006.360",,,,,,,,"H"," n/a ","E"," sun ",6/14/1992,1230,926508144," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," semi w/1 trailer ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," merging ","A unk ",,,,
10,120,"SJ","R001.310",,,,,,,,"H"," n/a ","E"," thur ",7/2/1992,725,926511098," imp. turn ","clear","day","dry"," normal ","D"," hit object ",1," car ","E"," on sr. "," unk ",0,1," dike or curb  beyond median or strip "," over embankment  beyond median or strip "," rollover  beyond median or strip "," n/a  n/a "," def. veh.  unk "," off road ","A unk ",1,,1,
10,120,"SJ","T006.760",,,,,,,,"H"," n/a ","E"," sun ",7/12/1992,1210,926511616," speeding ","cloudy","day","dry"," normal ","D"," rear-end ",2," car ","E"," n/a "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,,1,
10,120,"SJ","T006.760",,,,,,,,"H"," n/a ","E"," sun ",7/12/1992,1210,926511616," speeding ","cloudy","day","dry"," normal ","D"," rear-end ",2," car ","E"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R005.560",,,,,,,,"H"," n/a ","W"," sun ",7/26/1992,1530,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",4," car ","W"," n/a "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",1,1,,
10,120,"SJ","R005.560",,,,,,,,"H"," n/a ","W"," sun ",7/26/1992,1530,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",4," pickup ","W"," n/a "," unk ",0,0,"V3 right lane ","V4 right lane ","V1 right lane "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R005.560",,,,,,,,"H"," n/a ","W"," sun ",7/26/1992,1530,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",4," car ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R005.560",,,,,,,,"H"," n/a ","W"," sun ",7/26/1992,1530,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",4," car ","W"," n/a "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," speeding  unk "," straight ","A unk ",,,,
