,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","S D","Total Accidents","PDO","Injury","Fatal",,,,,,,,,,,
10,5,"SJ","R014.370","D","F","J","Z",4,4,"UI","H"," n/a ","N","thu",1/16/1997,2055,926505841," other viol. ","clear","dark","dry","normal","none","other",2,"other non-veh.","N","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk "," other ","unk",,,,,,,,,,,,,,,
10,5,"SJ","R017.450","D","F","K","Z",3,3,"UI","H"," n/a ","N","sun",1/19/1997,1152,926513762," imp turn ","cloudy","day ","dry","normal","none","hit obj.",1,"car","N","on SR","unk",0,2," dike or curb  beyond shoulder driver's right "," over embankment  beyond shoulder driver's right "," rollover  beyond shoulder driver's right "," n/a  n/a "," none  unk "," unsafe turn ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.390","D","F","J","Z",5,5,"UI","H"," n/a ","N","tue",1/21/1997,940,926613217," other viol. ","rain","day ","wet","normal","none","rollover",1,"semi w/1 trailer","N","on SR","unk",0,0," n/a  n/a "," over embankment  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," wind  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.390","D","F","J","Z",5,5,"UI","H"," n/a ","N","tue",1/21/1997,940,926613217," other viol. ","rain","day ","wet","normal","none","rollover",1,"lost tow","N","on SR","unk",0,0," rollover  int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk "," other ","unk",,,,,,,,,,,,,,,
10,5,"SJ","R014.560","D","F","Q","G",3,4,"UI","H"," n/a ","N","wed",1/22/1997,2000,926608693," speeding ","rain","dark","wet","normal","none","hit obj.",1,"semi w/1 trailer","N","on SR","unk",0,0," guardrail  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," wind  unk "," lane change ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R015.040","D","F","J","N",3,3,"UI","H"," n/a ","S","wed",1/29/1997,1500,926505841," other than driver ","clear","day ","dry","normal","none","rollover",1,"car","S","on SR","unk",0,1," rollover  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.830","D","F","J","Z",5,5,"UI","H"," n/a ","N","thu",1/30/1997,945,926611776," other viol. ","cloudy","day ","dry","normal","none","sideswipe",2,"semi w/2 trailers","N","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.830","D","F","J","Z",5,5,"UI","H"," n/a ","N","thu",1/30/1997,945,926611776," other viol. ","cloudy","day ","dry","normal","none","sideswipe",2,"semi w/1 trailer","N","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R021.140","D","F","J","Z",3,3,"UO","H"," n/a ","S","sun",2/2/1997,1915,926513582," other than driver ","cloudy","dark w/lights","dry","obs. on rd","none","other",4,"car","S","on SR","unk",0,1,"V5 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R021.140","D","F","J","Z",3,3,"UO","H"," n/a ","S","sun",2/2/1997,1915,926513582," other than driver ","cloudy","dark w/lights","dry","obs. on rd","none","other",4,"car","S","on SR","unk",0,0," n/a  n/a ","V5 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
